Strike,Last Price,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,Open Int,Vol/OI,Type,Last Trade,Avg IV
108.0,11.0,9.73,0.9854,0.95333,0.01609,-0.31086,0.00601,0.00281,1016,4833,0.21,Call,2024-08-29,0.6639
109.0,8.85,8.85,1.058,0.91927,0.02298,-0.50179,0.00921,0.00272,1506,3171,0.47,Call,2024-08-29,0.6639
110.0,8.0,8.0,1.0973,0.88358,0.02899,-0.6751,0.01205,0.00263,9565,69888,0.14,Call,2024-08-29,0.6639
111.0,7.05,6.78,0.7844,0.92348,0.02977,-0.36176,0.00885,0.00279,3717,7177,0.52,Call,2024-08-29,0.6639
112.0,5.95,5.95,0.8439,0.87036,0.04065,-0.56234,0.013,0.00264,1771,3625,0.49,Call,2024-08-29,0.6639
113.0,5.05,5.05,0.8035,0.83431,0.05033,-0.62897,0.01532,0.00255,3242,5989,0.54,Call,2024-08-29,0.6639
114.0,4.2,4.2,0.773,0.78531,0.06137,-0.70728,0.01797,0.00242,3524,2654,1.33,Call,2024-08-29,0.6639
115.0,3.35,3.35,0.7190000000000001,0.73057,0.07464,-0.74284,0.02033,0.00226,13352,15985,0.84,Call,2024-08-29,0.6639
116.0,2.77,2.63,0.6981,0.65353,0.08589,-0.80356,0.02271,0.00203,6809,3159,2.16,Call,2024-08-29,0.6639
117.0,2.02,2.02,0.6939,0.56382,0.09223,-0.85029,0.02424,0.00176,16312,4605,3.54,Call,2024-08-29,0.6639
118.0,1.48,1.48,0.6787000000000001,0.46965,0.09524,-0.83858,0.02448,0.00147,45032,6294,7.15,Call,2024-08-29,0.6639
119.0,1.07,1.07,0.6781999999999999,0.37677,0.09099,-0.79887,0.02337,0.00119,51555,5508,9.36,Call,2024-08-29,0.6639
120.0,0.75,0.75,0.6784,0.29131,0.08216,-0.72101,0.02111,0.00092,153835,31317,4.91,Call,2024-08-29,0.6639
121.0,0.51,0.51,0.6794,0.21708,0.07027,-0.61795,0.01808,0.00069,106229,5416,19.61,Call,2024-08-29,0.6639
122.0,0.35,0.35,0.6901,0.15929,0.05712,-0.51788,0.01493,0.0005,153542,7645,20.08,Call,2024-08-29,0.6639
123.0,0.23,0.23,0.6954,0.11244,0.04462,-0.41067,0.01176,0.00036,160936,13240,12.16,Call,2024-08-29,0.6639
124.0,0.16,0.16,0.7143999999999999,0.08122,0.03419,-0.33199,0.00926,0.00026,129554,30695,4.22,Call,2024-08-29,0.6639
125.0,0.12,0.12,0.7453,0.06139,0.02643,-0.27922,0.00747,0.00019,310497,64431,4.82,Call,2024-08-29,0.6639
126.0,0.1,0.1,0.7904000000000001,0.04993,0.02117,-0.25148,0.00634,0.00016,83277,27219,3.06,Call,2024-08-29,0.6639
127.0,0.08,0.08,0.8262,0.03962,0.01681,-0.21809,0.00526,0.00013,65631,27863,2.36,Call,2024-08-29,0.6639
108.0,0.06,0.06,0.8671,-0.02872,0.01229,-0.17469,0.00404,-9e-05,17893,17641,1.01,Put,2024-08-29,0.6639
109.0,0.09,0.09,0.8493,-0.04168,0.01704,-0.23222,0.00548,-0.00013,14868,18286,0.81,Put,2024-08-29,0.6639
110.0,0.11,0.11,0.7976000000000001,-0.05236,0.02179,-0.26181,0.00659,-0.00016,113658,83944,1.35,Put,2024-08-29,0.6639
111.0,0.16,0.16,0.7741,-0.07394,0.02939,-0.33242,0.00862,-0.00023,20750,11585,1.79,Put,2024-08-29,0.6639
112.0,0.22,0.22,0.7402,-0.10027,0.0386,-0.39898,0.01082,-0.00031,25764,15903,1.62,Put,2024-08-29,0.6639
113.0,0.31,0.31,0.7109000000000001,-0.13736,0.05022,-0.4785,0.01352,-0.00042,34155,13347,2.56,Put,2024-08-29,0.6639
114.0,0.46,0.46,0.6960999999999999,-0.19137,0.06363,-0.58084,0.01678,-0.00058,40944,22294,1.84,Put,2024-08-29,0.6639
115.0,0.64,0.64,0.6673,-0.25499,0.07821,-0.65538,0.01976,-0.00076,127802,43242,2.96,Put,2024-08-29,0.6639
116.0,0.95,0.95,0.6677,-0.34067,0.08926,-0.74814,0.02257,-0.00101,56183,21048,2.67,Put,2024-08-29,0.6639
117.0,1.29,1.29,0.6428,-0.43252,0.09946,-0.77107,0.0242,-0.00127,72443,9534,7.6,Put,2024-08-29,0.6639
118.0,1.78,1.78,0.6403,-0.53334,0.10097,-0.77509,0.02447,-0.00155,109264,14851,7.36,Put,2024-08-29,0.6639
119.0,2.28,2.28,0.5988,-0.64108,0.10154,-0.67904,0.023,-0.00181,72687,13553,5.36,Put,2024-08-29,0.6639
120.0,3.0,3.0,0.6086,-0.73183,0.08814,-0.60649,0.02028,-0.00199,209530,66027,3.17,Put,2024-08-29,0.6639
121.0,3.7,3.7,0.5577000000000001,-0.83228,0.07335,-0.41901,0.01544,-0.00215,99523,30312,3.28,Put,2024-08-29,0.6639
122.0,4.61,4.61,0.5909,-0.88009,0.05585,-0.35191,0.0123,-0.00214,68091,13646,4.99,Put,2024-08-29,0.6639
123.0,5.15,5.53,0.5976,-0.92299,0.03957,-0.25415,0.00888,-0.00211,42730,19680,2.17,Put,2024-08-29,0.6639
124.0,6.5,6.5,0.6456000000000001,-0.94066,0.03001,-0.22354,0.00725,-0.00201,31976,22213,1.44,Put,2024-08-29,0.6639
125.0,7.34,7.5,0.721,-0.94598,0.02495,-0.23223,0.00674,-0.00201,43746,44314,0.99,Put,2024-08-29,0.6639
126.0,8.3,8.55,0.8648,-0.93402,0.02425,-0.32961,0.00789,-0.00217,23422,28508,0.82,Put,2024-08-29,0.6639
127.0,9.4,9.7,1.1065,-0.90336,0.02522,-0.57041,0.01053,-0.00231,10378,15511,0.67,Put,2024-08-29,0.6639
